api,Total_Dept,X EPSG:26913,Y EPSG:26913
30-015-05868,9.999900E+04,6.199769E+05,3.544072E+06
30-015-05873,9.999900E+04,6.199043E+05,3.542334E+06
30-015-05877,4.202000E+03,6.194760E+05,3.543156E+06
30-015-05891,4.118000E+03,6.187875E+05,3.541687E+06
30-015-10259,9.999900E+04,6.181024E+05,3.567432E+06
30-015-10843,1.954600E+04,6.181943E+05,3.558992E+06
30-015-10859,6.267000E+03,6.153583E+05,3.561358E+06
30-015-20277,6.140000E+03,6.181514E+05,3.571852E+06
30-015-20302,5.800000E+03,6.176491E+05,3.571847E+06
30-015-20341,1.540000E+04,6.192776E+05,3.570257E+06
30-015-21700,4.995000E+03,6.141332E+05,3.562954E+06
30-015-23224,1.435300E+04,6.066114E+05,3.541386E+06
30-015-23324,3.580000E+03,6.041771E+05,3.542270E+06
30-015-23680,1.436500E+04,6.049913E+05,3.541444E+06
30-015-25419,9.104000E+03,6.183959E+05,3.576614E+06
30-015-25640,6.382000E+03,6.180703E+05,3.570243E+06
30-015-25697,6.794000E+03,6.185183E+05,3.566230E+06
30-015-25745,0.000000E+00,6.098472E+05,3.541895E+06
30-015-26194,1.505700E+04,6.148377E+05,3.571415E+06
30-015-27106,8.328000E+03,6.169561E+05,3.570935E+06
30-015-27627,8.440000E+03,6.177042E+05,3.566991E+06
30-015-27962,8.200000E+03,6.109015E+05,3.562112E+06
30-015-29345,1.362700E+04,6.173907E+05,3.558485E+06
30-015-29460,7.992000E+03,6.076820E+05,3.558513E+06
30-015-29602,8.554000E+03,6.192946E+05,3.566616E+06
30-015-29605,8.400000E+03,6.170903E+05,3.547691E+06
30-015-29792,8.450000E+03,6.179835E+05,3.577476E+06
30-015-38527,6.330000E+03,6.140005E+05,3.568986E+06
30-015-39736,9.306000E+03,6.131703E+05,3.547362E+06
30-015-42492,6.905000E+03,6.198927E+05,3.551466E+06
30-025-08128,5.200000E+03,6.281877E+05,3.570804E+06
30-025-08148,5.019000E+03,6.274408E+05,3.565965E+06
30-025-08161,4.995000E+03,6.267659E+05,3.563233E+06
30-025-22024,1.576900E+04,6.255233E+05,3.557453E+06
30-025-22390,4.378000E+03,6.227180E+05,3.544201E+06
30-025-24432,5.204000E+03,6.302435E+05,3.567219E+06
30-025-26844,1.596000E+04,6.277287E+05,3.574817E+06
30-025-27358,4.444000E+03,6.236018E+05,3.546960E+06
30-025-27616,1.585000E+04,6.267511E+05,3.554286E+06
30-025-28202,4.977000E+03,6.258746E+05,3.561910E+06
30-025-28237,8.710000E+03,6.246635E+05,3.562294E+06
30-025-28242,9.350000E+03,6.270728E+05,3.562736E+06
30-025-28259,4.545000E+03,6.240043E+05,3.546980E+06
30-025-30660,4.440000E+03,6.251908E+05,3.544225E+06
30-025-31515,1.592000E+04,6.229969E+05,3.571165E+06
30-025-32868,9.850000E+03,6.213592E+05,3.569887E+06
30-025-33398,9.442000E+03,6.216715E+05,3.576722E+06
30-025-33455,8.754000E+03,6.209775E+05,3.562250E+06
30-025-33521,1.030000E+04,6.284494E+05,3.573622E+06
30-025-33653,1.120000E+04,6.281477E+05,3.573617E+06
30-025-35524,7.600000E+03,6.253052E+05,3.575579E+06
30-025-35598,6.500000E+03,6.336553E+05,3.551970E+06
30-025-40162,6.322000E+03,6.252381E+05,3.545365E+06
30-025-40482,6.278000E+03,6.227822E+05,3.546049E+06
30-025-40500,6.205000E+03,6.230084E+05,3.542879E+06
30-025-40813,0.000000E+00,6.263571E+05,3.553428E+06
30-025-41208,6.613000E+03,6.265970E+05,3.549196E+06
30-025-41570,7.200000E+03,6.275837E+05,3.562039E+06
30-025-41735,6.800000E+03,6.309522E+05,3.565516E+06
30-025-42174,6.275000E+03,6.240842E+05,3.546392E+06
30-025-42258,7.300000E+03,6.274818E+05,3.554804E+06
30-025-42462,7.019000E+03,6.316808E+05,3.547207E+06
30-025-42463,7.385000E+03,6.307160E+05,3.567218E+06
30-025-42717,6.274000E+03,6.274227E+05,3.557476E+06
30-025-42759,5.810000E+03,6.253682E+05,3.565038E+06
30-025-23895,1.903500E+04,6.348343E+05,3.553591E+06
30-025-45028,1.900000E+04,6.333457E+05,3.549690E+06
30-015-04749,1.720500E+04,6.093110E+05,3.557717E+06
30-015-29728,1.658500E+04,6.184464E+05,3.558782E+06
30-015-31381,1.740000E+04,6.165904E+05,3.558052E+06
30-015-40435,1.779900E+04,6.069851E+05,3.558146E+06
30-015-40935,1.778300E+04,6.080781E+05,3.564022E+06
30-015-41649,1.823600E+04,6.200287E+05,3.560736E+06
30-015-43805,1.754300E+04,6.162860E+05,3.575504E+06
30-015-43806,1.790500E+04,6.200450E+05,3.573198E+06
30-015-44131,1.792000E+04,6.130358E+05,3.566754E+06
30-015-44416,1.808800E+04,6.172661E+05,3.564090E+06
30-015-44612,1.775200E+04,6.128898E+05,3.567648E+06
30-015-44676,1.821200E+04,6.195390E+05,3.564745E+06
30-015-45204,1.743000E+04,6.103100E+05,3.566743E+06
30-015-45224,0.000000E+00,6.141794E+05,3.556145E+06
30-015-45235,1.789400E+04,6.183392E+05,3.571192E+06
30-015-45237,1.786000E+04,6.105040E+05,3.560964E+06
30-025-25017,1.550000E+04,6.216930E+05,3.575115E+06
30-025-31929,9.150000E+03,6.285500E+05,3.570408E+06
30-025-41524,1.844900E+04,6.233841E+05,3.560020E+06
30-025-42354,1.867500E+04,6.287015E+05,3.545287E+06
30-025-42947,1.877600E+04,6.253510E+05,3.565007E+06
30-025-43379,1.888100E+04,6.208841E+05,3.549152E+06
30-025-43473,1.826400E+04,6.210343E+05,3.566868E+06
30-025-45029,1.839800E+04,6.250627E+05,3.574112E+06
30-025-45127,1.893100E+04,6.265221E+05,3.545791E+06
30-025-45469,0.000000E+00,6.224490E+05,3.547071E+06
30-025-46685,0.000000E+00,6.284478E+05,3.557674E+06
